Time: 26/04/2023 22:31:49, Score: 80
Time: 26/04/2023 22:34:26, Score: 80
Time: 27/04/2023 08:55:15, Score: 80
Time: 27/04/2023 09:19:27, Score: 40
Time: 27/04/2023 09:38:54, Score: 80
Time: 27/04/2023 10:06:19, Score: 60
Time: 27/04/2023 10:09:02, Score: 80
Time: 27/04/2023 10:10:39, Score: 80
Time: 27/04/2023 10:12:23, Score: 60
Time: 27/04/2023 10:21:43, Score: 80
Time: 27/04/2023 10:23:34, Score: 80
Time: 27/04/2023 10:25:58, Score: 20
Time: 27/04/2023 10:56:18, Score: 670
Time: 27/04/2023 11:15:43, Score: 700
Time: 27/04/2023 11:41:45, Score: 40
Time: 22/02/2024 12:17:10, Score: 820
